,negative,neutral,positive,helpfulness,burst,count
A7SBXZZZNT8PH,0.2857142857,0,0.7142857143,1,1.3333333333,7
ALQWU22CF9QDU,0.1428571429,0.2857142857,0.5714285714,1.75,1.3333333333,7
A1DD991DALZLW0,0,0.1428571429,0.8571428571,0,2.5,7
A1HXL4AL8IM09H,0,0.2,0.8,3,0.25,5
A1KW5FBVY09A9Z,0.1666666667,0.1666666667,0.6666666667,0,1,6
A11RLSRM2PC6EG,0,0,1,0,0,7
A86D88SOFBPK4,0,0,1,1,9,10
A1GUHYYOW8KTCL,0,0.0769230769,0.9230769231,1,0.8571428571,13
A3CKS8FDCUUB51,0,0,1,0,1,6
A41RGOESRPWWB,0,0.4,0.6,1.5,0.6666666667,5
A3NV1LOXMR6F7K,0,0.3333333333,0.6666666667,1.5490196078,0.5,6
APSOLWPTAS8FJ,0,0.2,0.8,2,0.6666666667,5
A2WNSMQNYAG4P2,0,0,1,1,0.25,5
A196RXJKVC8OXN,0,0,1,0,1.5,5
AR0TXAZG8W2VB,0,0.125,0.875,0,1.6666666667,8
A3NRM9PBYEMWDZ,0.1428571429,0.1428571429,0.7142857143,3.9285714286,0,7
AGIHZSBZI4K26,0.5,0.1666666667,0.3333333333,1,1,6
A1NF8AYDS3K72R,0.2,0.2,0.6,1,0.25,5
AIJ0LTQ93H4Z6,0,0,1,1,1,6
AIAOFEPWPX1J8,0.3333333333,0.1666666667,0.5,1.55,0.2,6
A2F8REWIZ7CYCP,0,0,1,0,0,5
A3LBS4TJ7GJ1FD,0,0,1,1,0,5
A3MB0BYKVLBTXY,0.2857142857,0,0.7142857143,3,0.1666666667,7
A1JZ8YP44B38RU,0,0.2,0.8,2,1.5,5
A2XXRIAGX3AS75,0.1666666667,0,0.8333333333,0,1,6
A20CZ5UT6R8K2F,0.2,0.2,0.6,1,0.6666666667,5
A2DA088EZR16JI,0,0,1,1,2,6
AXWV0234EG3BN,0.2,0,0.8,1,1.5,5
A312H44SQLK15T,0.2,0,0.8,1,0,5
A3EPG18Z98MC1Z,0,0.4,0.6,1,1.5,5
A3JU4OPZPS7EOY,0.8,0.2,0,0,1.5,5
A1J2EYRN60DUE8,0.2,0.2,0.6,1,0.25,5
AGN2ENEYX3CYM,0,0.2,0.8,0,1.5,5
A3TDN5135WRSI8,0,0,1,0,0.1666666667,7
ARZ4ECUE2DSQF,0,0,1,0,0,5
A1D13BNGSSQT69,0,0.1666666667,0.8333333333,1,1,6
AHM4DHN57ZQA2,0,0,1,1.5,1.5,5
A1RLK632LI90LC,0,0,1,1,1.3333333333,7
A647M0A96SDT7,0,0,1,0,2.5,7
A21RU23FMI0XSS,0,0.1428571429,0.8571428571,2,1.3333333333,7
A26KFZRSSV7NKI,0.2857142857,0,0.7142857143,1.5,0.75,7
A2PZWYQYTLSOP9,0.4,0,0.6,1.9487179487,0.25,5
A2Z7WJETXCQJQ9,0,0,1,1,0.5,6
AK0U1I145CF73,0.2857142857,0,0.7142857143,0,0.75,7
A13MBNZ67UUTZ5,0,0.2,0.8,0,0.6666666667,5
A1GIHRGLQ1ZCQE,0.6666666667,0,0.3333333333,4.0166666667,0,6
A3PZS1Q9F3YOV2,0,0.1666666667,0.8333333333,3.1083333333,0.2,6
AAXAKFQEAQPWC,0,0.0526315789,0.9473684211,3,0.7272727273,19
A30GKJUGWWU9NI,0.1818181818,0.2727272727,0.5454545455,1.875,2.6666666667,11
A3O79R7OHVMKXN,0.1666666667,0,0.8333333333,0,0.2,6
A22L90EG36EP1L,0.1666666667,0.1666666667,0.6666666667,2.5838509317,0,6
A36463D55NFHMF,0,0.1428571429,0.8571428571,0.5,0.75,7
A6XRS2TNJ50G,0.2,0,0.8,0,0.6666666667,5
A3H6JOQW5CA5P6,0.4285714286,0.1428571429,0.4285714286,0.8,0.1666666667,7
A3E8MC8AV5H4V8,0,0.2,0.8,1,0,5
A2Q1OZBWGHO3X9,0.1666666667,0.3333333333,0.5,0,5,6
A1CI7ZJ4F3SJ1K,0.1428571429,0,0.8571428571,1.6666666667,2.5,7
A1BJHAT2OXY1T9,0,0.0555555556,0.9444444444,2,0.3846153846,18
A1M965849HNW5H,0.2,0,0.8,2.5714285714,0,5
A6EV2LC6U5E1D,0,0,1,0,1,6
AZRAGVPSIS3MN,0.3333333333,0,0.6666666667,1,0.2,6
AG9G4VUJB6709,0.1428571429,0.4285714286,0.4285714286,3.5797101449,0,7
A2GBDBH6XIULLN,0.2,0,0.8,1.9090909091,0.25,5
AMXH3ACUIIRQG,0.2,0,0.8,1,4,5
A3PH7LUACO7HOA,0,0,1,0,1,6
AD00RQLTDBIO2,0,0,1,0,0.25,5
AJ81OYWCXDCWK,0.2,0,0.8,2.875,0.25,5
A135HXH1KNKP9W,0,0.2,0.8,1,0.6666666667,5
A2U9XLTLYC28OL,0,0,1,0,2,6
A2J9J2XQMSG4WL,0.125,0.125,0.75,1.75,1.6666666667,8
A31EORKPUGXJG7,0,0,1,1,0,5
A25FDSTIHHAFKX,0.0333333333,0,0.9666666667,10.0555555556,0.3636363636,30
A2T3QLD4DCTZSF,0.2,0,0.8,1,0.25,5
A27BY4G66QX044,0.2,0.2,0.6,0,1.5,5
AITJ763AEKS3P,0.2,0,0.8,0,0.6666666667,5
A1DDJ3OM8ZP3HE,0,0,1,1,1.5,5
A30AO3GN6HWCT5,0,0.2857142857,0.7142857143,3.8,6,7
A1KJV0RD5K6Y4L,0.1666666667,0.1666666667,0.6666666667,0,1,6
A7IGR9FY41VQG,0.2,0,0.8,0,0.6666666667,5
A27EIN7J1QO6Z,0,0.2,0.8,1,0.25,5
AXKT39QI66CY7,0.125,0,0.875,2,0.3333333333,8
A2R28OFDUJZ3CH,0.2,0,0.8,2,0.6666666667,5
A25IL005NAAC9H,0.2857142857,0,0.7142857143,1.7192513369,0,7
A24XMRXG3O6JPZ,0.4285714286,0,0.5714285714,2,0.75,7
APW0OINC8LISZ,0.2,0,0.8,1,1,10
A17WMUPWHYJPVR,0.1111111111,0.1111111111,0.7777777778,0,0.8,9
A17DIKUTVOU7ZM,0,0,1,1,0.4,7
A2QA9IR0FKHS2Z,0.0526315789,0,0.9473684211,3.5,1.7142857143,19
ALXGWHRY69VJN,0,0,1,1,0.2,6
A1KXS49ZYYVNYQ,0.2857142857,0.1428571429,0.5714285714,0.5,0.1666666667,7
A1L46I7NHELWQQ,0,0.2,0.8,3,0,5
AERZUSSH4AF6M,0.2,0,0.8,3.5,1,10
ADSF2TWAQS044,0.2857142857,0.1428571429,0.5714285714,1,0.1666666667,7
A1CWVJKB94WPGV,0.1,0.4,0.5,0.5,9,10
AUZ8FSNOTA0DN,0.2857142857,0,0.7142857143,3,0,7
A16ALXKQ02SKYG,0,0,1,3,0,5
AVG826KHQ2R2P,0,0,1,1,0.25,5
A1P610N368VDR8,0,0,1,0,0.4,7
A2Y9TKEO052TES,0.4,0,0.6,2,0.6666666667,5
AR30T7LSABOOB,0.4,0.2,0.4,0,4,5
A2K2C90WXL7H0X,0,0,1,1.5,0.25,5
A21H6OJPRG4HWV,0,0.5,0.5,0,2,6
A2842JRWO5UL0J,0,0,1,1,1.3333333333,7
AJ6NI04GZFBJ3,0,0,1,2,1,8
A2XPUHE9C8PIVV,0.2,0,0.8,0,1.5,5
A1OOOJ6EF0QBQB,0,0,1,1.7272727273,0.25,5
A3BHAEU1HK5FO8,0.4615384615,0,0.5384615385,4.8181818182,0.1818181818,13
A32M15RZXWZ5GS,0,0,1,0,0,5
ATXR3EHJXG3XE,0,0.2857142857,0.7142857143,1.75,0.4,7
A3TPTKY0E4YRJF,0,0.1111111111,0.8888888889,0,0.5,9
ASQENHC1UCEV,0.0909090909,0.1818181818,0.7272727273,1,1.2,11
A1905N4E7KK49F,0,0,1,0,5.5,13
A26RU1I8Y4772C,0.3333333333,0,0.6666666667,1,1,6
A1A8ZX1Q5P8LOS,0,0,1,2,0.2,6
A1S9RPHDAV0SC2,0,0.4,0.6,0,1.5,5
AXZOA632GTI02,0.4,0,0.6,1,1.5,5
AUI0MSVXQRV65,0,0.1666666667,0.8333333333,1,5,6
AU6YHEJY8QZRE,0,0.1666666667,0.8333333333,1.7272727273,0.2,6
A2OVFLPM7JDHW,0.1666666667,0.1666666667,0.6666666667,0,1,6
A2PLGB52VCSYHG,0,0,1,2.1666666667,0,5
A3A8TNF7XZA2EO,0,0.1666666667,0.8333333333,4.2959183674,0.5,6
A2QVAT8INRU801,0.1666666667,0.3333333333,0.5,0,2,6
A2GAADJ9YMV9EU,0,0.0740740741,0.9259259259,4.5,1.25,27
A3Q0E27ERXNKNW,0.375,0,0.625,0.5,1,8
A1J5BGM658BIUS,0.1666666667,0.1666666667,0.6666666667,2,0,6
A1TAMVISAOZI6U,0.1666666667,0.1666666667,0.6666666667,3.0952380952,0.2,6
A3KAWU1WJ1G9Y5,0,0.1666666667,0.8333333333,1.5,2,6
A2MLECL176KDMW,0.4285714286,0.2857142857,0.2857142857,0.9,0.75,7
AOEGEDYRE0BOD,0.4,0.2,0.4,2.4523809524,0,5
AAXEPPWHSFFYY,0.2,0.2,0.6,2,4,5
AHMG7GNVPAFBY,0.6,0,0.4,0,0.6666666667,5
A3UCQFJTW8PPCV,0,0,1,0,0.25,5
A3G9OLLB8APRJ4,0.5,0.1666666667,0.3333333333,0,2,6
A1I7I1VERPYRP5,0.1666666667,0,0.8333333333,2.5,1,6
A1C6AC3V3I9DRB,0,0.1666666667,0.8333333333,1.9285714286,0.2,6
A3M742JPD2OIL1,0,0,1,0.6666666667,1.3333333333,7
A3D5B0GZ0LTPUH,0,0,1,1,0,5
A2EP4PMBS78D5F,0,0,1,0,0,7
A3OILXKRMZSUG4,0.5,0.1666666667,0.3333333333,1.8333333333,0.5,6
A178C4ESPP0EM0,0,0,1,0,0,6
A1ZMGCRA55N0Z4,0,0,1,1,0,5
A39E7IWNHY62JT,0,0.4,0.6,2,0.25,5
A395TSYH5M1OP5,0.2,0.1333333333,0.6666666667,1.5,0.6666666667,15
A3CM3GMHM3QJSP,0,0.2,0.8,2,0.25,5
AX7ZDVUR0EANN,0,0.1111111111,0.8888888889,2.6666666667,0.2857142857,9
A1PWK6G81ZL2FY,0.1428571429,0.1428571429,0.7142857143,0,1.3333333333,7
A1WNOVVDRLKR0C,0.6,0.2,0.2,1,0.25,5
A1KQQ733QAGVEA,0,0.2,0.8,0,0.25,5
A3O0OT4UXA1LPG,0,0,1,3.75,4,15
A27F0T71QHLL5R,0.2,0.2,0.6,1,1.5,5
A131E28H6DRH61,0.0909090909,0.0909090909,0.8181818182,1,1.2,11
A35LODKRM4H3I3,0.5,0.375,0.125,2.9736842105,1,8
AI3H3Q2ZE6EEX,0,0,1,1,0.6666666667,5
AVYVF004Y9SMY,0,0,1,0.5,0,5
A7FVO0AIVOH32,0,0,1,4.5757575758,1.6666666667,8
AFIXHGZVUBSWJ,0.8,0,0.2,3.25,0,5
AO2M6YO6LY0HN,0,0,1,0,4,5
A2I01KUOV371G8,0,0.2,0.8,1,0.6666666667,5
AOKHFIISQN6C7,0.1428571429,0,0.8571428571,1.5,1.8,14
A1JNBBYWOW60VA,0.5,0,0.5,2,0.1428571429,8
A2LWYTOFGA64ZL,0,0,1,1,1,8
AI4L1PPL2L3TC,0,0,1,0,0.6666666667,5
A3NRXV8DVK4X0E,0.1111111111,0.1111111111,0.7777777778,3.25,0.5,9
A31S7LWPT0MUUQ,0,0.2222222222,0.7777777778,0,1.25,9
A3JETEWBO4QOL8,0,0,1,0,3,8
A1LA0GARPU0E1G,0,0,1,1,0.6666666667,5
A2OJR8SR2CRPVM,0,0,1,1,0.6666666667,5
A1MFF44BGYN3QA,0,0,1,0,0.25,5
AC1X7ZU890TLI,0.3333333333,0,0.6666666667,1,5,6
A1PIFAEOENK1R5,0,0,1,1,5,6
A2MQDN9IBYYOM,0.2,0.2,0.6,0,0.25,5
A3ACJSFK5F23JA,0,0.4,0.6,0,4,5
AT934FXBA0N87,0.2857142857,0.1428571429,0.5714285714,2.1666666667,0,7
A2AP8BF98VMD5V,0.2,0,0.8,0.6666666667,0.25,5
A1MFO2DXH2C2B5,0.4,0,0.6,2.5,0,5
A3QLSKBM6KEDOE,0.5,0,0.5,3.1616161616,0,6
A2WCFDOCS73PNB,0.125,0.0625,0.8125,7.5736434109,0,16
A2I559B614AFNK,0.1666666667,0,0.8333333333,0,0.5,6
A272EU8PX02203,0.1666666667,0.1666666667,0.6666666667,1,2,6
A5KMMY627T3W,0,0,1,2.6470588235,0.125,9
A1766YTTI00P5J,0,0.2,0.8,2.5,1.5,5
AT953GHKJ5HAY,0,0.6666666667,0.3333333333,1.5,2,6
A1RCGK44YXNBBB,0,0,1,3.8333333333,0.1666666667,7
A35ZMLELO5TYY7,0.2,0.4,0.4,2.6666666667,0.25,5
A26877IWJGISYM,0.4444444444,0.1111111111,0.4444444444,1.6477832512,0,9
A28PR1CI6PNS9C,0.2,0,0.8,0.5,0.25,5
A31ZDOMBJBVDRE,0.2,0.2,0.6,3,0.6666666667,5
A2LVZXTI9BTNSO,0,0,1,2.431372549,0,5
A3QAKNG1LKUIOI,0,0.2,0.8,0,0,5
A1HT6MT6EUMIL9,0.25,0.25,0.5,2,1,8
A248JFAELVCDYE,0.1428571429,0,0.8571428571,1,0.5555555556,14
AO6Y9ACJN6JAB,0.125,0.25,0.625,0.3333333333,1.6666666667,8
AKB2IHTZF8DY1,0.1111111111,0.1111111111,0.7777777778,3.5666666667,0.2857142857,9
ABI2YE4BMSCN2,0,0,1,1,0.6,8
A2QN1W86ROBQQC,0.125,0.25,0.625,0,7,8
A2FPHH6HVHD2PB,0.3333333333,0,0.6666666667,1.3571428571,0.5,6
A2GYL6W0HMZ3XR,0,0.3333333333,0.6666666667,3.8148148148,0.5,6
A18FUHNBP90IB4,0,0,1,3,0,5
A3BC7G6HZC62YE,0,0,1,2,0.2,6
A3GDCMJ4DU2JOJ,0.2,0,0.8,0,1.5,5
AREYFWVO70BZB,0.1666666667,0,0.8333333333,0,1,6
A26FOQ675XSUWC,0,0,1,1,0.6666666667,5
A3OI2OCAAMX8CH,0.4,0,0.6,0,0.25,5
A15YD9BPP8KCY2,0,0,1,1.8333333333,1.5,5
A3V1A3C9DTLPME,0.1481481481,0.1111111111,0.7407407407,9.1666666667,0.8,27
A2UDIVPMQ7JCWX,0.2,0,0.8,1.375,0,5
A2OF0RHDJTQM53,0.4,0.2,0.4,1.3333333333,1.5,5
A2GGBYXB6GTGQX,0,0.4,0.6,0,1.5,5
A1N7NA5148ZREP,0.625,0.125,0.25,1,0,8
ADUM4ZQR6KA6O,0,0,1,0,1.5,5
A2N8XZLOKCNGW2,0,0,1,0,0.6666666667,5
A209XURHBHY868,0,0,1,0,0.6666666667,10
A24ELT8JGIPAEA,0,0.2,0.8,1,0.25,5
A2T1S6MU2H0FKK,0.2,0,0.8,0,0.6666666667,5
A1BDFCGBZWIS1F,0,0,1,1.5,0.6666666667,5
A2GJ98NYWJ8VFU,0,0,1,0,0.25,5
AH7A79O06FUA1,0.1428571429,0.1428571429,0.7142857143,0,0.4,7
A1N3Z8JW1D98UX,0,0.3333333333,0.6666666667,0,0.5,6
A3AQ279I3NTVEI,0.1,0.1,0.8,0.5,2.3333333333,10
A19G4Y9E6M2RX4,0,0.2,0.8,1,0.25,5
A2OS7U9JJD0GYH,0,0.1428571429,0.8571428571,1.6666666667,0.1666666667,7
A1G1OLNYJXP6AZ,0,0,1,1,4.5,11
A1VKPG6RRWVAYA,0,0,1,1,0,5
A3987Q3PVJT07A,0.0625,0.0625,0.875,2.3333333333,1,16
A1EKRUO70F554M,0,0.8,0.2,0,4,5
A16DAYJ57AB5DG,0.25,0,0.75,1.1111111111,1,8
A2NTIUVM9AK83O,0,0,1,0,0.5,6
A2SIST2I4QNM6R,0,0,1,1,1,6
ASCU3MGNCYO6P,0.2,0.4,0.4,1.3333333333,0,5
A3HX078W0KALZB,0,0.1666666667,0.8333333333,0.6666666667,1,6
A13TPW64AGIVKG,0.2,0,0.8,2.5,0.6666666667,5
A3NBF8AE52HQ8Z,0,0.3333333333,0.6666666667,1,2,6
A9BWUH9XKZ2DQ,0,0,1,1.5,0.5,6
A2AHPTEPWOF2Z7,0.1428571429,0,0.8571428571,2,0.4,7
A1E3L0MZ58MNWQ,0,0,1,2.6666666667,0.2,6
ACUT3YEPWFGOV,0.1764705882,0.0588235294,0.7647058824,1,7.5,17
A1FUCL8S9KK2IG,0.2,0.2,0.6,2,0.25,5
A2SWVT14OOZ4SP,0,0.2,0.8,0,0.6666666667,5
A1NMSNSO624OID,0.2,0.2,0.6,0,0.25,5
A2ZNNUHKV74B9G,0,0,1,2,0.6666666667,5
A2HXPG9E2YDM5Y,0,0,1,0.5,0,6
A26SVUREULLIH3,0,0.1428571429,0.8571428571,0,2.5,7
A3AW81UKSWXEIO,0.2,0,0.8,2.4,0,5
AL4HLQ8BTZ63M,0.2,0,0.8,1,0.6666666667,5
A4FGHLXX6LRQK,0.1666666667,0.1666666667,0.6666666667,0,5,6
A39Q25IWRIFV23,0,0,1,0.5,0.6666666667,5
A1Q46OMBNLRYET,0.4,0,0.6,0,1.5,5
A36OLCR6PWPFMP,0.4,0,0.6,0,1.5,5
A23IFTS8M2M7KB,0,0.2,0.8,1,0.6666666667,5
A2PE6YSJ4BVVXN,0.1111111111,0.2222222222,0.6666666667,1,2,9
AGFUJAPEIOEXR,0.4,0.4,0.2,2,0.25,5
A3DWI49RAMSADS,0.0625,0,0.9375,1,1.2857142857,16
AUN0ZGDU3XE5X,0.4,0,0.6,1,0.6666666667,5
ASY55RVNIL0UD,0.2,0,0.8,0,0.25,5
AWTZG6FOTCNEL,0,0,1,0,0.2,6
AFNDP5MO8WI74,0.1666666667,0.1666666667,0.6666666667,4,0.5,6
ANM4P5MD6LVFZ,0.1666666667,0,0.8333333333,1,2,6
A1M6XM4ANR5F6I,0.1666666667,0,0.8333333333,2,2,6
AFDMY197SCOQ8,0.2,0,0.8,1.8,1.5,5
A3RYBCK7YMJ36Q,0.2,0.2,0.6,1,0.25,5
A2IXAIARL0CDY7,0.1818181818,0,0.8181818182,2,0.375,11
A2SD1Z4OROY538,0,0.4,0.6,2,0.25,5
A6XCZQMOJEH4B,0.1428571429,0.2857142857,0.5714285714,1,1.3333333333,7
A16O690GI1B7EN,0.2,0.2,0.6,3.1666666667,1.5,5
A32GKP87HAB8C3,0.1,0.1,0.8,0,9,10
A3JCCEZQIMFNS8,0,0.2,0.8,1,1.5,5
A1B3YRCYD236PM,0.1666666667,0,0.8333333333,1,0.2,6
A1W9OSF4ZWL94R,0,0,1,1,1.75,22
A9DKSIPSB37PJ,0,0,1,0,0.25,5
A3KED1YSGNVN4B,0.2,0,0.8,0,0.6666666667,5
A3BMJBBJ7S1TFY,0,0,1,0,0.6666666667,5
A3TFHAGUY7Y3CD,0.2,0.2,0.6,0,0.25,5
A1QXE7OX7MSL2H,0.2,0.4,0.4,2.3958333333,0.25,5
A4RYG0YTMVHHI,0.3333333333,0,0.6666666667,1.8,0,6
A2GSU7HVAI8TLK,0.4,0.2,0.4,1,1.5,5
A108979C0JSDZS,0,0,1,0,0.6666666667,10
A3AQRIZE7S3TGF,0.2,0,0.8,0,0.6666666667,5
AXNR187EZMUJV,0,0,1,0,0.75,7
A3V4ZV5BOTJXW,0.25,0.125,0.625,4.875,1.6666666667,8
A3OD3ZP2WOIOBC,0,0,1,2,1.5,5
A1SI2OMTENFC9A,0.2,0,0.8,1,0.25,5
A3TXE2I187DJ0H,0,0.2,0.8,0,1.5,5
A2MBHMI0B44MQY,0,0,1,2,0.6,8
A12GH3CAQ6W9HF,0,0,1,0,0.25,5
A3ENPC4JR79MNT,0.4285714286,0,0.5714285714,1,0.75,7
AJY0M8C7PJ7SM,0,0,1,2,0.25,5
A1Z1LLEQQ4D1IQ,0.5,0,0.5,1,5,6
A14PY68SX7D5DV,0,0.3333333333,0.6666666667,0,0.8,9
A2GBWULPAU8RRQ,0,0,1,0,1.5,5
A1LJ0A9TSDP1XP,0.4,0,0.6,2.9,0.25,5
A1JDCYZK98ZX19,0.2,0,0.8,0.75,0,5
A2UDLVBJA4SLDK,0,0,1,2,0.6666666667,5
AZ2PEMPT3U5GR,0.1666666667,0.1666666667,0.6666666667,0,1,6
A1XPM58Q828Q65,0.1428571429,0.4285714286,0.4285714286,1.1666666667,0.4,7
AZXFS8GCTSQ5R,0.0909090909,0.1818181818,0.7272727273,9.6666666667,0.2222222222,11
A1UVBN354JHT7L,0.1666666667,0.5,0.3333333333,0,5,6
A2JM12LXOG5LQI,0.4,0,0.6,0,0.25,5
A29SKP6GT91PUT,0,0,1,2.5,0.75,7
A2A58XJDK0UAIC,0,0,1,1,0.6666666667,10
ASLFPFKYZS7UN,0.1333333333,0.0666666667,0.8,2.7142857143,1.1428571429,15
AYLJ52EJWFOGS,0,0,1,2,0.4,7
A1YN9PI7HNQBQL,0.2,0.4,0.4,0,1.5,5
A38P05NLCIK5DM,0.4,0.2,0.4,0,0.6666666667,5
A3N8DWNFKDV8ZC,0.0769230769,0.0769230769,0.8461538462,0,0.3,13
AOUMA7UWG681B,0.6666666667,0,0.3333333333,0,0.5,6
A2Z0L9BLRB2SC4,0.1666666667,0,0.8333333333,0,0.2,6
A1A5GREM952V8M,0.2,0,0.8,2.7142857143,0,5
A117PEASIX5TJ,0.4285714286,0.1428571429,0.4285714286,2,0.1666666667,7
A2EBW9DA8QBHRF,0.0769230769,0.0769230769,0.8461538462,5.7833333333,0.625,13
A1JYVVCCTROCVE,0.2,0,0.8,1.9166666667,0,5
A8VORIH4E1AV8,0,0,1,1,0.6666666667,5
AIEB4211HH3A8,0,0.1666666667,0.8333333333,1,1,6
A2FEZ4ZGL7Q27B,0,0,1,2,0.6666666667,5
A398KYEJFRQS6K,0,0.4,0.6,0.8,0.6666666667,5
AYOZ36B77KYSB,0,0,1,1,1.3333333333,7
A1TBKGTDHNB072,0,0.1666666667,0.8333333333,0,5,6
A6PSZATJSYF6X,0,0,1,2,1,6
A19LVQ6TIYM809,0,0.2,0.8,1,4,5
A3GPD3LRS8J7HC,0.1666666667,0,0.8333333333,0,5,6
A27QXQQOLAMRRR,0.0967741935,0.3548387097,0.5483870968,7.3147058824,0.24,31
A2B73MUGLPB65O,0.0714285714,0,0.9285714286,3.95,0.2727272727,14
A6I8NWM1CW4OE,0,0,1,0,1,8
AVOOU49YPVHGN,0,0.1428571429,0.8571428571,2,0.75,7
A261DBYQZ9N06P,0.3333333333,0,0.6666666667,2,0.8,9
A2DVFAST0ZW2KV,0,0.125,0.875,1.6666666667,0.6,8
AJYAL268A59ON,0.5,0,0.5,0,0,6
A2T0XKPYJF3JN2,0,0.2857142857,0.7142857143,1,0.4,7
AN7BGFEQXCEEV,0,0,1,0,0.3333333333,8
A3FTQ7DEOEYGE3,0.2,0,0.8,0.75,0.6666666667,5
AX7SZ0O08N48E,0,0.3333333333,0.6666666667,1.6931818182,0.5,6
A2M775WAM2DXTD,0.2222222222,0.1111111111,0.6666666667,3,2,9
A8XW5F22OZ6MF,0.4,0,0.6,0,4,5
A3S0LUNZWSHBMI,0,0.1666666667,0.8333333333,1,5,6
A34TY8BWJ5QXNI,0,0.2,0.8,0,4,5
A1GONT79LEL77Y,0.4,0,0.6,0,0.6666666667,5
AEVGV7Y6YFXS4,0.6,0,0.4,4.8766666667,0,5
A201CRHIRPC0HG,0.2,0,0.8,1,0.6666666667,5
A2WMLRWN5GB72K,0,0,1,2,0.25,5
A3QUEIM136R1CZ,0,0.4,0.6,1.5,0,5
A8U066MA36A2O,0,0,1,2,1.6666666667,8
A19CV0JRN2OYMK,0.6,0,0.4,1,0.6666666667,5
A1R8W3JXJRUEUM,0.2,0.2,0.6,0,0.6666666667,5
A31KHN3R7O2GXC,0,0,1,1,0.25,5
A1CB2SMS3TD44Z,0.2,0.2,0.6,3,4,5
A2BGDV09HCHX8E,0,0.1538461538,0.8461538462,0,0.1818181818,13
A3G59EZOF0VQNH,0,0.1666666667,0.8333333333,2,0.2,6
ARZYRVP8QAYWX,0,0,1,0,0.6666666667,5
A399S3PP9QRV70,0.2,0.4,0.4,1,1.5,5
A2B85FB9U6G3SV,0,0,1,1,0.75,7
A2LPN8T8LF26K8,0.2222222222,0.1111111111,0.6666666667,2.2714285714,0.2857142857,9
AIHYN9BY05T3H,0.5,0.1666666667,0.3333333333,0.5,0.5,6
A17YPTSJ9UFDJ5,0.3333333333,0,0.6666666667,1.1666666667,0,6
A1FC6EYF8AI39J,0,0,1,0,0,5
A2124ZHKK6JQ97,0.4,0.2,0.4,0,0.25,5
A2OA7L9C94J61F,0,0.1111111111,0.8888888889,1,0.5,9
A1NMHZ8B0DP4OI,0.25,0.125,0.625,0.6666666667,0.1428571429,8
A2KDF6X8HNMPV6,0.1428571429,0.1428571429,0.7142857143,2.3333333333,0,7
A3GHGNF00HZY0E,0,0.2,0.8,1,0,5
A3E3YSEU36AWBZ,0.6,0,0.4,0,0.6666666667,5
A1THI033NZVJW0,0.2,0.6,0.2,2.2333333333,0.25,5
A2LDYPIKIERES8,0,0.2,0.8,0,4,5
A35QSDPT3ZRRJG,0,0.2,0.8,1,4,5
A9ZA527M0R2Y8,0.2,0,0.8,2.25,0.6666666667,5
A34LZFUP682LMV,0.1428571429,0.1428571429,0.7142857143,1,2.5,7
A1PM3ZL9ZT5PMG,0,0.2,0.8,1,0.6666666667,5
A3N1RHXR6VH7N4,0.1428571429,0.1428571429,0.7142857143,1,2.5,7
A3B87N2ME1NIWH,0.5,0,0.5,1.6666666667,3,8
AHX290TMTEX0U,0,0,1,0,0.6666666667,5
A3IKA9SP1N0BSK,0.4166666667,0,0.5833333333,1.3333333333,1.4,12
A2QKVZK7HOHPYP,0.2,0,0.8,2,1.5,5
A365UW6ZZUAMZ7,0,0,1,2.6153846154,0.3333333333,8
A220BUEMNWDDKI,0,0,1,1.3333333333,0,7
A1H4VNQRPSAURQ,0,0,1,0,0.6666666667,5
AM9TMD1NQSA4O,0,0.2,0.8,0,4,5
A1NVMYIKRKCP16,0.1428571429,0,0.8571428571,1.5,0.75,7
A3CO0ZCKSZVLH5,0,0,1,0,2,9
A193FH53KFIPVY,0,0.1428571429,0.8571428571,3.8571428571,0,7
A2ZHB6CELG0Z0,0.4,0,0.6,0,0.25,5
A1XP3KH2JO8UUW,0,0.4,0.6,1.8571428571,0.6666666667,5
A267NVBYGX4XK7,0,0,1,0,2.6666666667,11
A3L90BYI1N8EE6,0.1428571429,0,0.8571428571,0,2.5,7
A2PWEATRIL8Z5C,0,0,1,1,1.5,5
A3FOQABPE99BQU,0.2,0,0.8,2.6666666667,0,5
A13N1SMTZG6SPN,0.3333333333,0,0.6666666667,0,1,6
A2OLPQRBN9H3X2,0.2,0.2,0.6,1,1.5,5
A2L90SGUP36KGA,0.1666666667,0,0.8333333333,1,0.2,6
AVVDACUPQFM8P,0,0,1,0,4,5
A2NH1QZRL3KEXM,0,0,1,0.6666666667,0.75,7
AMSC7RPED8DPM,0,0.2,0.8,0.5,0,5
AZV9TQDZU7306,0,0,1,0,0.25,5
A3JFQSOF150OEI,0,0.3076923077,0.6923076923,3,0.8571428571,13
A2M8B6CO49JPCG,0,0,1,0,0.6666666667,5
A1SZTPERJC38VN,0.1666666667,0,0.8333333333,0,1.4,12
A1F76U9WZ2632V,0,0,1,1.6666666667,0.3333333333,8
A3FG7LQYUR2S3,0,0,1,1,1.5,5
AB3V7U5LT3FZ6,0.1428571429,0,0.8571428571,1,0.1666666667,7
A2ISQWHYU0HCTM,0,0,1,0,0.6666666667,5
A3KD5ZYUUKM5EL,0,0,1,3,0.75,7
A3ADQ1IPPD6QJW,0,0.1428571429,0.8571428571,0,1.3333333333,7
