,negative,neutral,positive,helpfulness,burst,count
AENULRBQ2IE5I,0.0769230769,0.0769230769,0.8461538462,2,1.1666666667,13
AXP7888CP2222,0.2,0.2,0.6,0.6666666667,0.25,5
A3APKXMNJAEDQM,0,0,1,3.6666666667,1,6
A2HHVYBD6H9728,0,0,1,0,0.25,5
A2JZTK0WGJCMGN,0,0,1,2,1.5,5
A3K9OQPCI8UJE,0.4444444444,0,0.5555555556,1,2,9
A1CNDQC2IXGEPN,0,0,1,1,0.5,6
AQG6AQXC703WD,0,0.4,0.6,0,0.6666666667,5
A1YP96MT6W9FTB,0,0.0476190476,0.9523809524,12.4802008608,0.1052631579,21
AG8FGAIPRBKIR,0,0.2,0.8,2.6477987421,0,5
A1ZQVN0F0FURHH,0,0,1,3.5,4.5,11
A1N06X05VZWO5Y,0,0,1,2,0.4285714286,10
A2X3UAK5HLALMJ,0,0,1,0,1.5,5
A1W93CKNN8D6L2,0,0,1,0,1,6
A5I7XOLQRH9YE,0,0.2,0.8,0,1.5,5
AW1VA3H8A5N12,0.0833333333,0,0.9166666667,6,0.5,12
A3R8TPM1N7HFS4,0,0.125,0.875,3,1,8
AXMXE3RT660HQ,0.2,0,0.8,0,0.25,5
A2IDOKLAT1MP8X,0.2,0.1,0.7,5.9333333333,0.25,10
A2UDGB5BTYY51,0,0.2,0.8,1,4,5
A2WYAHJGST6AOT,0.1666666667,0.1666666667,0.6666666667,0,2,6
AS421KUEDNJ5V,0,0,1,0,0.5,6
A19J3XY4IO2OYC,0,0.2,0.8,1,0.6666666667,5
A12YXGXV4MATDS,0,0,1,0,1.5,5
A26E1V45R24QVC,0,0,1,1,0.6666666667,5
A1VQHH85U7PX0,0.1666666667,0.1666666667,0.6666666667,2.5,0,6
A3H4PZB9PGMWAA,0.0909090909,0.0909090909,0.8181818182,0,10,11
A1JDT2X4BYHZZL,0,0,1,0.5,0.2,6
A24VMSBJAWFRCP,0,0,1,0,2,6
A1NMFQP9ZR23AH,0,0,1,4.75,2,6
A1MY8258SXRZ8M,0,0,1,2.875,2.6666666667,11
AOCBJFQ7UPEOJ,0,0,1,1,1.3333333333,7
A4XWMOFB1HY04,0.0833333333,0,0.9166666667,3,0.0909090909,12
A2A039TZMZHH9Y,0,0.2666666667,0.7333333333,3.5,2.75,15
A3BEKIXEMSZ9PL,0.2,0,0.8,1.3333333333,0,5
A2DG65AWX5RJ4J,0,0,1,1,1,6
AKPVT396SPLII,0.1428571429,0,0.8571428571,1.6,0.75,7
A2F2L5F9OWWVY6,0,0,1,2.75,4,20
A12DQZKRKTNF5E,0,0.2,0.8,3.2892156863,0,5
A37U8NH2CD9EDX,0,0,1,0.8333333333,1,6
AM870TTAD2RFT,0,0.4,0.6,0.7777777778,0.6666666667,5
A2WA8TDCTGUADI,0,0.3333333333,0.6666666667,0.5,0,6
A26M5O53PHZTKN,0.1111111111,0.1111111111,0.7777777778,2.8888888889,0,9
ASSWUAOO49Z8Q,0.4,0.2,0.4,1.9166666667,0,5
A2Z3FDWL7DQD76,0,0,1,1.5,0.5,6
A6KYDNP84GGGJ,0,0,1,1,1.6666666667,8
A109JTUZXO61UY,0,0,1,1,4,5
A3157YGT1NASJ7,0,0.2857142857,0.7142857143,3,2.5,7
A2BRKLV7FQ1HVS,0.125,0.125,0.75,3,1.6666666667,8
ACXJSNO821XUG,0,0,1,2,1.3333333333,7
AEKID8YBJSV8K,0,0.1666666667,0.8333333333,4.4571428571,0,6
AIAH54R6EL4V8,0,0,1,3.25,0.75,7
AFFH3F0W6N3MY,0,0,1,2,0.25,5
A1IQKXGJSKTAHP,0,0.1428571429,0.8571428571,4.3333333333,0,7
A26Y7G0VFYUYSL,0,0.125,0.875,2,3,8
A1F4FQAW2G9FRA,0,0,1,1.5,4,5
A2STXHBNXM1B0Z,0,0.6,0.4,0,4,5
A2UX9BF36MYEXK,0.25,0,0.75,3,0.1428571429,8
A19AXCVXAM7NM2,0.1111111111,0,0.8888888889,2.8,0.8,9
A35NAFXV5GHZ92,0,0,1,1,0.5,6
A1GM034H7XPDEW,0,0,1,1.4,0.4,7
A24JW33E1DW64K,0,0.2,0.8,1.9230769231,4,5
AHCJAJO18KRP1,0,0,1,0,1.6666666667,8
A3SS4Y0BDSPDB0,0,0,1,1,4,5
A2KJY8BRDP8RZP,0,0.2,0.8,0,1.5,5
A27S1RZ4JF0S3N,0,0,1,1,1.5,5
A2XKROL6XBFHT3,0,0,1,2,2,6
A1EUO0BU72JR7T,0,0.1666666667,0.8333333333,2.6666666667,1,18
A3RPTP7XINQSKI,0,0.25,0.75,0,1.6666666667,8
A1VFUMY02HJIFY,0.0714285714,0.1428571429,0.7857142857,3,1,14
A73CB1NVPYDZ5,0,0.4,0.6,2.5915750916,0.6666666667,5
A2Z1BOQPVQK2M4,0,0,1,1.9473684211,0.6666666667,5
A3D1A0YHTT0E9G,0.2,0,0.8,1.9,0.25,5
A1XNCV67JBJVF7,0,0,1,2,0.5,9
A3W2E6S24BTXXK,0,0.2,0.8,0,1.5,5
A2U7ZM8TAJUFPQ,0,0,1,3.3,5,6
A2XL6TZM34HFV3,0.0833333333,0.0833333333,0.8333333333,6.25,0.3333333333,12
A3JXFUXN03IUT5,0,0,1,0,4,5
A1THTWOPC9UOS4,0,0,1,3.1666666667,1.6666666667,8
A3IVULXGE2PB43,0.125,0,0.875,3.1785714286,0.1428571429,8
A2PX3NR1IVTXPG,0.2,0,0.8,1.5,0.25,5
A6GXP9ESXIH7O,0.1666666667,0.1666666667,0.6666666667,1,1,6
A1SDGIC08LD6BW,0,0,1,3,1,6
A28FADP9FITQVK,0,0,1,1,0.5,6
A3GSBNVP2LPFRB,0,0,1,1,0.2,6
A118PM0B1PGWDA,0.375,0.125,0.5,2.75,1,8
A3BTH66WVCQAM9,0,0,1,4.6666666667,1.3333333333,14
AFB7MSIPJIW68,0,0,1,3.35,0.8,9
A22810LZ1TDWH2,0,0.3333333333,0.6666666667,0,2,9
A2SXC5WGKDRV7H,0,0,1,0,0.25,5
A2MHK6C40Z54TB,0.2,0,0.8,1,0.25,5
A1RHGZOBDC3WQF,0,0,1,0,5,6
A2QPZKGUDE7RJ4,0,0.1428571429,0.8571428571,3.5,6,7
AU9BPT3Y3K6J4,0,0,1,0,1,6
A2F300193C5XH9,0,0.1428571429,0.8571428571,2.5,0.4,7
A2GUE6E3DUYX03,0,0,1,1,1,6
A14BICJ93WO926,0,0,1,3,1.5,10
A1HR4TQ0HAGU8T,0,0,1,2.25,1.5,5
A3LOJ2QHXITCF7,0,0.2,0.8,0,1.5,5
A1FJBWP2R3NSH4,0.2,0.2,0.6,3,0,5
A2XKZS6UXZWK9M,0,0,1,0.75,1.5,5
A2R4YQNCYMS8M7,0,0,1,2,1.5,5
A1WJVU9KICHFI,0,0,1,0.5,0.6,8
A33DAMPX4T6K57,0,0,1,0,0.5,6
A3SUC2DJYHUU9Y,0,0.2222222222,0.7777777778,2.75,0.5,9
A2F42NSN3HKRCU,0,0,1,3.5,0.2,6
AVY8D3ULJTX0H,0,0,1,1,1.5,5
AN73VQ17FZVJ8,0.4,0.4,0.2,2,0.6666666667,5
A2G9UCBLL9YLET,0,0.3333333333,0.6666666667,1,1,6
AFGRMORWY2QNX,0,0,1,1,0.25,5
A2TBAUW2W7J538,0,0.3333333333,0.6666666667,4.1666666667,0,6
A20EZ7E8WUH2GZ,0,0,1,1.6666666667,0.25,5
A15BHBF0L0HV1F,0,0.125,0.875,2,0.1428571429,8
A3M4FU3WQWJHMP,0,0,1,2,0.1111111111,10
ACVSCM9GWLNLS,0,0.2,0.8,2,0.6666666667,5
A36P367G4ZH6Z0,0,0,1,5,1.4,12
AJK15Q9JOEHRH,0,0,1,8.9166666667,1.2727272727,25
A2B1KICX3RPRX3,0,0.2,0.8,0,0.25,5
A3775OP5VTX5ON,0.0909090909,0.1818181818,0.7272727273,7.5456140351,0.2222222222,11
AODIJK065X72D,0,0,1,2,0.25,5
AD175S3OJX0DG,0,0.2,0.8,0,4,5
A3UZITVEOSRRHD,0,0.2,0.8,1.6666666667,0.25,5
A1XJKAH0QCUVWD,0,0.1666666667,0.8333333333,1,5,6
A3I49HMI4LV6HU,0,0,1,2,0,5
A1TSW5IJ1LU0RP,0,0.2,0.8,0,1.5,5
ATSVUBE2115N1,0,0,1,1,0.8,9
A2SNKWR5D203ZX,0,0,1,0,1.6666666667,8
A5MC7LP0ZBO4Q,0,0,1,0,2.5,7
A1JCRZEQACX4V4,0,0.125,0.875,2.5,1.6666666667,8
A1786LAQ18LHDC,0,0.2,0.8,0,4,5
A1OGTL9EBDTK3N,0,0.1,0.9,0,0.6666666667,10
A1NPG8GYIXYIVY,0,0,1,1,4,5
A11INIL2YFJ137,0,0,1,1.5,0.75,7
A94QU4C90B1AX,0,0.2,0.8,1,1.5,5
A205483DF7XVDE,0,0,1,5.25,0.75,14
A1YR3RVSBZK8CW,0,0.0526315789,0.9473684211,2,1.7142857143,19
A1W3CEEQBJ4GTN,0.2,0.2,0.6,0,1.5,5
A1SG6JGU7ISEH3,0,0.2,0.8,1.2916666667,4,5
A3V1A3C9DTLPME,0,0.0909090909,0.9090909091,5.25,0.375,11
ALYZ6K2FC7VZC,0,0,1,1.5,2,6
A33F2WVDF74EA7,0,0,1,0.8,0,5
A341MNU9GWBWKS,0.1666666667,0,0.8333333333,1,0.5,6
A2P8WJLFW9NDYN,0.2,0,0.8,2.5,1.5,5
A330W6L217G0U6,0.1428571429,0.2857142857,0.5714285714,0,2.5,7
ALHC64J88LVWO,0.1052631579,0.1578947368,0.7368421053,4.3807017544,0.4615384615,19
A1MH0P8PE6AT4P,0.1111111111,0,0.8888888889,2.2380952381,1.25,9
A1MI9FDCNB3CMR,0.1,0,0.9,2.2147435897,0.1111111111,10
AWBZIK5JYWB5J,0,0.4,0.6,2.8333333333,0.25,5
AMEZJVXMSEPY0,0,0,1,1,0.25,5
A8L6Z9U1TCP06,0,0,1,0,0.4,7
AKP6IWJ24C1A5,0.125,0.125,0.75,0,3,8
AFAK8WG4O8INK,0,0,1,1,0,6
A2VH0UT5EQFB6P,0,0,1,2.9047619048,0,8
A3J8U952XAL34Z,0.1428571429,0,0.8571428571,4.2380952381,0,7
A32H7YO8K1XS9E,0,0.4,0.6,0,0.25,5
A3MZWM75KSM1P6,0.125,0,0.875,1,0.1428571429,8
A1T4HGVX32QIYC,0,0,1,0,4,5
AQZ7HGW2FF4ED,0.2,0,0.8,1.7916666667,1.5,5
A1B9Q3SNKI6T5V,0.2,0,0.8,0,4,5
A3ENT7V0MT34WP,0,0,1,3.8675213675,0.2857142857,9
A3NI8JZCL7BZMC,0.1,0,0.9,1,9,10
A7IBOCJ0K4V8C,0,0.1666666667,0.8333333333,0,0.2,6
A19WXFFQMKES6O,0.125,0,0.875,3.4166666667,0.6,8
AEUG4DYQZJ64Z,0,0.1428571429,0.8571428571,2.6666666667,0.75,7
A23AKO4BZLZ8DE,0,0.0588235294,0.9411764706,8.5,0.2142857143,17
A22T4H0CPT6UJP,0,0.1666666667,0.8333333333,2,1,6
AD5G39PJUJVJ,0.25,0,0.75,2.5393939394,0.1428571429,8
A31HQD6H4SHO2C,0,0,1,1,1.5,5
A31RULW0KNYJ5H,0,0,1,1.75,0.5,6
A1CF9IF5FWYNU0,0.3333333333,0,0.6666666667,0,5,6
A2O52ICJCRQYVK,0,0,1,0.6666666667,1.5,5
ASNGOBUI6WHNV,0.2,0,0.8,0,1.5,5
A1LS2UXHG1BYRG,0.0769230769,0,0.9230769231,2,0.8571428571,13
APEJ8EJCC8PQ8,0.125,0,0.875,5.5,0.3333333333,8
A149F91FB9WTW6,0.1428571429,0.2857142857,0.5714285714,1,2.5,7
A56EP6FFRH1YT,0,0,1,4.9751552795,0,5
A2IMZNPSJGB2HQ,0,0,1,4,0.75,7
A1CUB195YB9XKO,0,0,1,2,1,8
A1SMCTGDM2LK7X,0,0,1,1,0.6666666667,5
A2Z3IXZ17E88J4,0.2857142857,0,0.7142857143,4.25,0,7
A2053ZJUGCKUA5,0.05,0,0.95,1,0.3333333333,20
A1RI71C4IQZZGF,0,0,1,2.5,1.25,9
A3N93PUHEMQU34,0.2,0,0.8,3,0.25,5
A3MONHA5DCPPLZ,0,0.1666666667,0.8333333333,0,0.5,6
AQK01UMFP9MND,0,0,1,1,0,5
A3R6V43G6HAJ0Y,0,0,1,2,0.6666666667,5
AOHR2Q90UXF23,0,0,1,1.6666666667,0.6,8
AMGUVF20JAOG8,0,0.125,0.875,0,3,8
A146H4KN4LFR60,0,0,1,1,0.4,7
A2FZ4Z0UFA1OR8,0,0,1,2.5,8,9
AKALIDNS3NMZ7,0,0,1,3,0.5,6
A3TOCY3MSC878,0,0,1,3,1,6
A2PFX6WO88KTYB,0,0,1,3.75,1.2,11
A21DER2RMJIDX7,0,0.125,0.875,3.9166666667,1,8
A3J1M5WTA3ST77,0,0.1666666667,0.8333333333,3,1,6
A3ZBLSAPZB9LE,0,0,1,9.3675213675,0,12
A3OA4DV4L81N1D,0,0,1,4.88,0,5
A362IZKSMV6MA8,0,0.0909090909,0.9090909091,1,2.6666666667,11
A1J9HY0AG5676,0.1428571429,0,0.8571428571,0,1.3333333333,7
A20JJ8634DG3FS,0.1111111111,0.1111111111,0.7777777778,5.6666666667,0.125,9
A16UCWYG4924HH,0,0,1,0.5,0,5
A1A15ECLHM9BQY,0,0.1428571429,0.8571428571,2,1.3333333333,7
AA1ZYCEKJGG3A,0.1428571429,0,0.8571428571,2.75,0.4,7
A1YAR5PTXNRA7X,0,0.1666666667,0.8333333333,0,2,6
A00625243BI8W1SSZNLMD,0,0,1,1,3,8
A3621QMU492VV4,0.2,0,0.8,0,1.5,5
A1DX9PS0UN7EHY,0,0.2,0.8,0,1.5,5
A24AQ24CD6865K,0,0,1,2,0.75,7
A27E9UEA5ZMTN5,0.6,0.2,0.2,0,1.5,5
A1WSFFFG0SL1XJ,0,0,1,1,0.6666666667,5
A3HEPYV00SNCQA,0.2,0.2,0.6,2,0.6666666667,5
A39RL01WOC0Q0Q,0.1666666667,0,0.8333333333,1,1,6
A3W2KQ6CLTQ0ZD,0.1111111111,0,0.8888888889,2.6666666667,0.2857142857,9
A3N27L13CWJ9HY,0,0,1,2,0.25,5
A2W8RH6YUNXH83,0.2,0,0.8,1,0.25,5
A37KJ0QD8HYF7A,0,0.4,0.6,1.5,1.5,5
A8E9VWP5EQH6B,0.2,0,0.8,2.6666666667,0.6666666667,5
A2E4JXFRLSUX53,0.2,0,0.8,0,0.6666666667,5
A2IFKMKKXV8AVU,0,0.2857142857,0.7142857143,1.7142857143,0.1666666667,7
A21N9ACLVOMDLP,0,0.1428571429,0.8571428571,1,0.4,7
A2SBZZ1HSR7WSP,0,0,1,8.5416666667,2.2,16
A203OCQQ12MAVT,0,0,1,1.6666666667,0,5
A1C6T412QATCAJ,0.2,0,0.8,1.1666666667,4,5
A3347V0SDFHQBA,0,0,1,0,0,5
A1MTN9XWJSA5PI,0,0.1666666667,0.8333333333,4,0,6
A3W2VF6D09B2RN,0,0,1,1,1.5,5
A307Y5ACUY4RN6,0,0,1,0,1.5,5
A2BHAEL2Q4HR4A,0,0,1,0,0.6666666667,5
A2CJVLER896Q7L,0,0.0526315789,0.9473684211,4,1.1111111111,19
AT01FH4U3GP0O,0,0,1,2.2571428571,0,6
A1YURS42Z635HR,0,0.2,0.8,3.9415954416,0.6666666667,5
A3CUQ8L2S9ZW0H,0,0,1,0,1.5,5
A1EW1P6BB16GP6,0.25,0.125,0.625,1,7,8
A12O5B8XNKNBOL,0,0,1,3,0.7142857143,12
A1GMWTGXW682GB,0,0.0344827586,0.9655172414,11,0.3181818182,29
A165EMA3YTIM6A,0.0909090909,0.0909090909,0.8181818182,5.4242424242,1.2,11
A3V2GMLAKW4X4Y,0,0.6,0.4,2,1.5,5
A36C867ZDP30NQ,0,0,1,3.25,5,6
A2N4QZ92NBKJZZ,0,0.2857142857,0.7142857143,0.8,0,7
A2ISZAYDM4Y791,0,0,1,0,1.3333333333,7
A1VHYBN1NV73LZ,0,0,1,5.1239316239,0,6
A3I23DPVLDXAB2,0,0,1,0.3333333333,0.4,7
AZMHABTPXVLG3,0.2,0.2,0.6,1,0,5
A10NJEIG56RHN5,0,0,1,1,0.6666666667,5
A14HVB7CVCYTIY,0,0,1,3.8571428571,0.75,7
A3P2J1W1RBUX6Q,0,0,1,3.8205128205,0,7
A3M9FH2OZKYF4D,0.2,0.2,0.6,1.5,0.25,5
A1RPTVW5VEOSI,0,0,1,9.1203703704,0,16
A3CSSZ6U5J4YS5,0.0588235294,0.0588235294,0.8823529412,5,2.4,17
AZVME8JMPD3F4,0.25,0.25,0.5,0,0.6,8
A1IL0PS2XJB4NS,0,0.1666666667,0.8333333333,0.8,0.2,6
ACWJDL1ZYX8RE,0,0,1,1.5,0.2,6
A67OJZLHBBUQ9,0,0,1,1,1.25,9
A3IICSS30MRX9M,0,0.3,0.7,4.513986014,0.6666666667,10
A342XAA3YXGKT9,0,0.125,0.875,3.96,0.3333333333,8
A3MYWHYZ30WLQJ,0,0,1,1.8888888889,0.6666666667,5
A1HW9DAJBYXGDV,0,0.0909090909,0.9090909091,1.5,0.5714285714,11
A768OB1LNE356,0.4285714286,0,0.5714285714,0.9,0.4,7
A2QJQ3HSJB4NS,0,0,1,0,4,5
AWV58YYFEAUL0,0,0,1,0,0.25,5
A1BI6SL4H95QI2,0.1666666667,0,0.8333333333,1,0.2,6
A78J38NU18DDZ,0,0,1,0,1.5,5
A306YUQBEB2R9T,0.0625,0.125,0.8125,3,1,16
A27WU4E7J23ZS7,0,0.2,0.8,1,0.25,5
A2IBPI20UZIR0U,0,0,1,1,1.3333333333,14
A25ZBYVW8ZINLM,0,0.0714285714,0.9285714286,5,0.5555555556,14
A3KX8SVSUCSHKU,0.2,0,0.8,1,0.25,5
ABRA676PKBNXG,0,0,1,0,0.6666666667,5
AEWYUPCNDV7HY,0,0.125,0.875,2.75,0.3333333333,8
A39PQ7QR2JFXLV,0.2,0.2,0.6,2.375,0.6666666667,5
A1BN3DBBWLMT6V,0.1666666667,0,0.8333333333,0.5,0.5,6
A1T4U9CAQ25IBR,0,0,1,1,1,6
A2PTJ004ZPRVHX,0,0.2,0.8,2.4642857143,0.6666666667,5
A2V9R0KCU8X6EH,0,0,1,2,0.6666666667,5
ASJAKT8DJIAC5,0,0,1,4.25,0.3333333333,8
A2UGCWC46V7PPG,0,0.1666666667,0.8333333333,1.7142857143,0.5,6
A1EQYR35KLTECN,0.2,0.2,0.6,0,0.25,5
A2INSN8Z69R0FK,0,0,1,0,5,6
A2IIIAR5BGJF4I,0,0,1,0,1.5,5
A2MIP3AQVSF2SS,0,0,1,3,3.5,9
A1ZRXGT8QJXGET,0,0,1,1,1.3333333333,7
A3B4L653KYTW55,0,0,1,0,0.6666666667,5
A3MRBUCGH66JTY,0.2,0,0.8,3.6973684211,0.6666666667,5
A3PGQWCSJPCYDH,0.1428571429,0.5,0.3571428571,1,1.8,14
A2SKZZZBV1XYWP,0,0.25,0.75,3.3888888889,1,8
A3DPGV307X2498,0.25,0.375,0.375,2,0.6,8
A195TE92PMQTJ5,0,0,1,1,0.6666666667,5
A1IR3NR4KRPIJ1,0,0,1,0,2.3333333333,10
A1H55L0BLPCWYF,0.1111111111,0.1111111111,0.7777777778,2.8181818182,0.125,9
A3GAP455S8YH0M,0,0,1,1,0.3333333333,8
A1WHGNU87BGJ2S,0,0,1,2.9130434783,0.1666666667,7
A2SREOQJ9OEDLE,0,0,1,0.5,5,6
A3BMI7VGJT60Y7,0,0,1,3.8846153846,1,6
A1QDSJZQWJZOL1,0,0,1,4.2424242424,0,7
AGDWVRFL81B4O,0,0,1,2.7614035088,0.125,9
A14PY68SX7D5DV,0.125,0,0.875,3,0.6,8
ACWH4WJMC5UFN,0,0.1666666667,0.8333333333,3.1666666667,0.5,6
A2SPZP1PYXBR28,0,0.2,0.8,0,4,5
A1S0NIJ5PDREYV,0,0,1,1,1.6666666667,8
A3K24MXK7GFY8,0,0,1,1,1.5,5
AXWEQHTXQWR7Q,0.1666666667,0,0.8333333333,1,0.2,6
A34LQ791ACZ0JC,0,0.0714285714,0.9285714286,7,0.2727272727,14
A3CSWB0L9ZLD94,0,0.1111111111,0.8888888889,1,2,9
A2R7B3MUR22USI,0,0.375,0.625,3.4428571429,0.1428571429,8
A2J4GBHSDLP4DF,0,0.1,0.9,1.5,1,10
A3IDC5FP52KJWJ,0,0,1,0,0.5,6
A3NKSY3I0UW3KK,0,0.2,0.8,1,0.25,5
A3HN470MGR70D2,0,0.2,0.8,3.7571428571,0,5
A8DCZN408QYKC,0.4,0.2,0.4,1,0.6666666667,5
A23033Q9WZBG4V,0,0.2,0.8,1.5,0.25,5
AGGQFKI536BUW,0,0,1,1,0.25,5
ADH0O8UVJOT10,0,0.0476190476,0.9523809524,25.117012987,0.4,42
A2Z89YMZZJWBHS,0.125,0,0.875,2.6666666667,0,8
A28P7V9KI7MXP,0,0,1,0.5,0,5
A39KDVU5JAXJIF,0.125,0.125,0.75,4.2361111111,0,8
A3MTR7P9PYAALX,0.1,0,0.9,1,1,10
A1ARFA1NCN34UV,0,0.1428571429,0.8571428571,3.6666666667,6,7
AZMIKIG4BB6BZ,0,0,1,0,1.5,5
A5ZS85C5V40S8,0,0,1,3.6666666667,0.25,5
A34BZPTKSY68PB,0,0,1,0,2,6
ATB2PLCVQ2XC9,0,0,1,3.6071428571,0,6
A2RIXSMGE9VIBG,0,0,1,1.5,0.2,6
A7ZP18XOIJADI,0,0,1,0,0.2,6
A35QR07ZW63T65,0,0,1,1.5,1.5,5
AMVC9WTXYKNJ1,0,0,1,2.5,0.1,11
A1HPC4BDRLR60,0,0,1,0.8,1.3333333333,7
A31JRW1DW3SZ2K,0.1,0.2,0.7,4.5757575758,0.6666666667,10
A22LLQ00V32YZJ,0,0.1,0.9,0,1,10
A1QE7VZE507TO7,0,0.2,0.8,0,4,5
A3SQ2WX9CAJCKZ,0,0,1,0.6,0,6
A2MVPY9XVYST9H,0,0.1666666667,0.8333333333,2.5882352941,0,6
A3QAILPOPQI3TC,0,0.1428571429,0.8571428571,1,2.5,7
A1FHOW9NVOH8XR,0,0,1,0,0.6666666667,5
A3T6OAYYMN3F1Q,0,0,1,0,1.5,5
A2M93TVNC93C3P,0,0,1,1,0.4,7
A3CMXRFIWQCBKQ,0.2,0,0.8,3,0.25,5
A16Z3HTUIYPDH8,0.1538461538,0,0.8461538462,1.9392712551,3.3333333333,13
A2H629SI5VJGRM,0,0,1,2,0,5
A1MVH1WLYDHZ49,0.03125,0.0625,0.90625,3,1.6666666667,32
AWKVQQZKTRFAL,0,0,1,0,0.25,5
A1N82BBPB5816P,0,0,1,0,5,6
A55YZTYSWPH96,0.4,0,0.6,0,1.5,5
A37A41GWQFMK3D,0,0.05,0.95,5,0.6666666667,20
A13GMS7FWV3TQ0,0,0.2,0.8,1,1.5,5
A10APIDAZISWQF,0,0.1666666667,0.8333333333,0,0.5,6
A3TRV1IG0M1PHK,0.2,0,0.8,0.3333333333,0.6666666667,5
A14FMSW73W220M,0,0.3333333333,0.6666666667,1,1,6
A8ANJNZAZQ6IQ,0,0,1,2.8,0.3,13
A1IDPIC36H49JX,0,0,1,2.1666666667,1,8
A3412OM2NWNT5E,0.2,0,0.8,0,1.5,5
A3W2EOWTZVIGC9,0,0,1,0,0.4,7
A3PB1FI3R9V7PY,0,0,1,0,0.6666666667,5
A3SMT15X2QVUR8,0,0,1,4.7947391592,0.6666666667,5
AHQTXJQX2584I,0,0,1,0.3333333333,2.5,7
A2T2SAJS88MYU4,0.1666666667,0,0.8333333333,1,0.2,6
A2W3CLAYZLDPTV,0,0,1,1,0.25,5
A10HYGDU2NITYQ,0.2,0.2,0.6,0.7857142857,0,5
A3QSZ2SE3HUSXM,0,0,1,0,0.25,5
AAHV0LYDMZGY8,0.25,0.25,0.5,6.4538461539,0.1428571429,8
A18XPD5BM4U6B1,0,0,1,0,0.5,6
A2WROWUBLQ9GZZ,0,0,1,6,2,6
A1SFZ6FGGM3D2U,0.4,0,0.6,0,0.25,5
AJ03X8Z6RZZ27,0,0.5,0.5,0,1,6
A3J1EO6778PPTH,0,0.4,0.6,2,0,5
A2VWNZNFV8QCP0,0.5,0.1666666667,0.3333333333,3.5,0,6
A2U7DXDNYBBLQJ,0,0.2,0.8,3.8,0.6666666667,5
A38DCVO9SZHW68,0,0.2222222222,0.7777777778,2.5,0.8,9
A1LZ7QGWHBHWOD,0,0.2,0.8,0,4,5
A3A3ZCWP7Z4V4K,0,0,1,0,2.5,7
A1V3N0LF1QGG0X,0.125,0,0.875,2,0.1428571429,8
AE9C0UNXBV8CB,0,0,1,1,13,14
A14UXBBB68V9R0,0,0,1,3.25,0.2,6
A1H4EBBOM66MQ0,0,0.1428571429,0.8571428571,0,2.5,7
A1FO10Z93GKN33,0,0.2,0.8,0,0.6666666667,5
A3HLW3G0TA8GX1,0,0,1,0,4,5
AHUCLL02HS7M5,0,0,1,0,1.5,5
A29J3SX31FB2HN,0,0,1,0.6666666667,0.25,5
A3TM9RWCTMIK42,0,0.2,0.8,0,2.3333333333,10
A3A7Y3TSPPZU9T,0,0,1,0.5,0,5
ASYHYW0USZVN6,0,0,1,0,4,5
A1J7PW0AEAEDP4,0,0,1,1,0.25,5
A3DOXGBWDJ1MU0,0,0,1,0,2,6
A2E2CJWPL1YMAR,0,0,1,0,0.6666666667,5
A1YBZOWO2RBIUZ,0,0,1,2,1.5,5
A1GOLQ90G6MHK6,0,0,1,1.5,0.6,8
A781ITP3HE2N5,0,0,1,4,1.2,22
AJH2W783HOXZV,0,0,1,0,0,5
A4BTCECGQAIUI,0.0555555556,0.2777777778,0.6666666667,2,0.8,18
ALVO1A5UB8DG0,0,0.0909090909,0.9090909091,1,1.2,11
A20SQURQ3G1BGY,0.1666666667,0,0.8333333333,3.8166666667,0.2,6
A19J1LI2AQ2JB8,0,0,1,2,1.5,5
A3DZBMO93FHKTH,0,0,1,0.5,1.6666666667,8
A2MPM6M93OXIJT,0,0.1666666667,0.8333333333,2,1,6
A2FXCGHJLVQTIX,0,0,1,1,4,5
A1LHMSY3Q46PJS,0,0,1,2.8022774327,0.2,6
A327J5R77T2EY3,0,0,1,2,1.6666666667,8
A21M5LI1AU7184,0,0,1,2.75,0,7
A7KIY7RDFHRN9,0,0.1666666667,0.8333333333,2.25,5,6
A27EWIL4YBWTA0,0,0,1,1.55,0.6,8
AH0XON4XDOF2C,0.0833333333,0.1666666667,0.75,1,0.3333333333,12
A126XEMCLHPBNZ,0,0,1,0,1.5,5
A2XD36ONYLNU5J,0,0,1,2,4,5
A3AAUG2Z6BD186,0,0.1428571429,0.8571428571,0,2.5,7
A2Z15UQEUTE3T9,0,0.2,0.8,0,4,5
A3QO0ZJPSDMDW3,0,0,1,0,0.25,5
A6M441DQ7HL09,0.4285714286,0,0.5714285714,2.5454545455,0,7
A1BNFL98NKJNYA,0.2,0,0.8,1,0.6666666667,5
A3A4UKJUP34E18,0.1666666667,0,0.8333333333,3,0.2,6
A2E9IR4TGNXY6L,0,0,1,1,0,5
ADOSJR623FDF1,0,0.1428571429,0.8571428571,0,0.4,7
A1IT51TW0UI2LM,0,0.1,0.9,6.8333333333,0.25,10
A3MKGUUWT9OOY6,0,0,1,0,2,6
A3VPISTBNS66C5,0,0,1,0,0.5,6
AJUXP5GEE2VRP,0,0,1,0,2.5,7
A2F92AOWTIUIB,0.0869565217,0.0869565217,0.8260869565,3,2.2857142857,23
AAPQB8YDQ3RRE,0,0,1,0,0.6666666667,5
A9CQXTVLHQBMA,0,0,1,1,0.75,7
A2F1O3IYPFAY6M,0,0,1,2,0,5
